dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,per_env,resnet50,224,0,00,1,0.67123,0.62442,0.68882
HTP,per_env,resnet50,224,0,00,2,0.63014,0.58986,0.63937
HTP,per_env,resnet50,224,0,00,3,0.56164,0.6106,0.60478
HTP,per_env,resnet50,224,0,00,4,0.56164,0.60138,0.57295
HTP,per_env,resnet50,224,0,00,5,0.50685,0.58449,0.50593
HTP,per_env,resnet50,224,0,00,6,0.54795,0.61367,0.44147
HTP,per_env,resnet50,224,0,00,7,0.56164,0.59601,0.40349
HTP,per_env,resnet50,224,0,00,8,0.49315,0.53456,0.35045
HTP,per_env,resnet50,224,0,00,9,0.64384,0.63134,0.32129
HTP,per_env,resnet50,224,0,00,10,0.57534,0.62442,0.25992
HTP,per_env,resnet50,224,0,00,11,0.60274,0.5937,0.24096
HTP,per_env,resnet50,224,0,00,12,0.58904,0.58986,0.20836
HTP,per_env,resnet50,224,0,00,13,0.60274,0.62289,0.23426
HTP,per_env,resnet50,224,0,00,14,0.60274,0.59677,0.1815
HTP,per_env,resnet50,224,0,00,15,0.56164,0.55991,0.1942
HTP,per_env,resnet50,224,0,00,16,0.54795,0.60138,0.17415
HTP,per_env,resnet50,224,0,00,17,0.53425,0.553,0.16943
HTP,per_env,resnet50,224,0,00,18,0.50685,0.54916,0.18348
HTP,per_env,resnet50,224,0,00,19,0.54795,0.54071,0.15988
HTP,per_env,resnet50,224,0,00,20,0.49315,0.54916,0.10344
HTP,per_env,resnet50,224,0,00,21,0.52055,0.57757,0.13222
HTP,per_env,resnet50,224,0,00,22,0.57534,0.60753,0.12088
HTP,per_env,resnet50,224,0,00,23,0.53425,0.56413,0.12868
HTP,per_env,resnet50,224,0,00,24,0.63014,0.58295,0.15182
HTP,per_env,resnet50,224,0,00,25,0.58904,0.5722,0.12693
HTP,per_env,resnet50,224,0,00,26,0.56164,0.58141,0.11683
HTP,per_env,resnet50,224,0,00,27,0.52055,0.56221,0.06775
HTP,per_env,resnet50,224,0,00,28,0.58904,0.55684,0.10775
HTP,per_env,resnet50,224,0,00,29,0.54795,0.58602,0.13333
HTP,per_env,resnet50,224,0,00,30,0.54795,0.61751,0.0862
HTP,per_env,resnet50,224,0,00,31,0.57534,0.63978,0.0833
HTP,per_env,resnet50,224,0,00,32,0.61644,0.63748,0.08097
HTP,per_env,resnet50,224,0,00,33,0.54795,0.62673,0.04807
HTP,per_env,resnet50,224,0,00,34,0.58904,0.65822,0.11995
HTP,per_env,resnet50,224,0,00,35,0.49315,0.62903,0.10109
HTP,per_env,resnet50,224,0,00,36,0.53425,0.65668,0.10828
HTP,per_env,resnet50,224,0,00,37,0.54795,0.60599,0.07923
HTP,per_env,resnet50,224,0,00,38,0.53425,0.60753,0.11143
HTP,per_env,resnet50,224,0,00,39,0.54795,0.61444,0.0552
HTP,per_env,resnet50,224,0,00,40,0.57534,0.60906,0.08335
HTP,per_env,resnet50,224,0,00,41,0.58904,0.61751,0.07909
HTP,per_env,resnet50,224,0,00,42,0.65753,0.64747,0.14238
HTP,per_env,resnet50,224,0,00,43,0.60274,0.65899,0.06297
HTP,per_env,resnet50,224,0,00,44,0.57534,0.60292,0.075
HTP,per_env,resnet50,224,0,00,45,0.56164,0.60215,0.06321
HTP,per_env,resnet50,224,0,00,46,0.53425,0.57988,0.10434
HTP,per_env,resnet50,224,0,00,47,0.60274,0.60445,0.13291
HTP,per_env,resnet50,224,0,00,48,0.60274,0.60292,0.09365
HTP,per_env,resnet50,224,0,00,49,0.58904,0.58717,0.08948
HTP,per_env,resnet50,224,0,00,50,0.58904,0.6106,0.10793
HTP,per_env,resnet50,224,0,01,1,0.74286,0.85486,0.59079
HTP,per_env,resnet50,224,0,01,2,0.8,0.90421,0.37492
HTP,per_env,resnet50,224,0,01,3,0.80952,0.89514,0.32814
HTP,per_env,resnet50,224,0,01,4,0.88571,0.93215,0.26118
HTP,per_env,resnet50,224,0,01,5,0.88571,0.93251,0.23336
HTP,per_env,resnet50,224,0,01,6,0.84762,0.92598,0.2439
HTP,per_env,resnet50,224,0,01,7,0.85714,0.92489,0.2614
HTP,per_env,resnet50,224,0,01,8,0.82857,0.92707,0.24589
HTP,per_env,resnet50,224,0,01,9,0.87619,0.91255,0.19152
HTP,per_env,resnet50,224,0,01,10,0.82857,0.9209,0.18747
HTP,per_env,resnet50,224,0,01,11,0.88571,0.92562,0.1594
HTP,per_env,resnet50,224,0,01,12,0.8,0.91183,0.13603
HTP,per_env,resnet50,224,0,01,13,0.8381,0.92707,0.13036
HTP,per_env,resnet50,224,0,01,14,0.84762,0.91927,0.17715
HTP,per_env,resnet50,224,0,01,15,0.8381,0.92308,0.16226
HTP,per_env,resnet50,224,0,01,16,0.8381,0.92598,0.15159
HTP,per_env,resnet50,224,0,01,17,0.80952,0.93251,0.14727
HTP,per_env,resnet50,224,0,01,18,0.86667,0.93469,0.13628
HTP,per_env,resnet50,224,0,01,19,0.84762,0.91909,0.12685
HTP,per_env,resnet50,224,0,01,20,0.8381,0.918,0.18183
HTP,per_env,resnet50,224,0,01,21,0.84762,0.92489,0.14983
HTP,per_env,resnet50,224,0,01,22,0.88571,0.93124,0.11716
HTP,per_env,resnet50,224,0,01,23,0.86667,0.93033,0.10838
HTP,per_env,resnet50,224,0,01,24,0.88571,0.92707,0.11119
HTP,per_env,resnet50,224,0,01,25,0.79048,0.91001,0.11355
HTP,per_env,resnet50,224,0,01,26,0.82857,0.9209,0.12185
HTP,per_env,resnet50,224,0,01,27,0.86667,0.92671,0.08591
HTP,per_env,resnet50,224,0,01,28,0.84762,0.92163,0.11527
HTP,per_env,resnet50,224,0,01,29,0.80952,0.91437,0.10048
HTP,per_env,resnet50,224,0,01,30,0.87619,0.91582,0.08436
HTP,per_env,resnet50,224,0,01,31,0.86667,0.92779,0.08411
HTP,per_env,resnet50,224,0,01,32,0.87619,0.92453,0.10021
HTP,per_env,resnet50,224,0,01,33,0.8381,0.9111,0.06962
HTP,per_env,resnet50,224,0,01,34,0.82857,0.92489,0.09502
HTP,per_env,resnet50,224,0,01,35,0.8,0.92163,0.1128
HTP,per_env,resnet50,224,0,01,36,0.8381,0.9111,0.10191
HTP,per_env,resnet50,224,0,01,37,0.84762,0.91872,0.14526
HTP,per_env,resnet50,224,0,01,38,0.84762,0.91219,0.09741
HTP,per_env,resnet50,224,0,01,39,0.8381,0.92163,0.07317
HTP,per_env,resnet50,224,0,01,40,0.8381,0.91981,0.0769
HTP,per_env,resnet50,224,0,01,41,0.84762,0.92235,0.0772
HTP,per_env,resnet50,224,0,01,42,0.80952,0.90929,0.08324
HTP,per_env,resnet50,224,0,01,43,0.84762,0.92217,0.0639
HTP,per_env,resnet50,224,0,01,44,0.84762,0.92126,0.08019
HTP,per_env,resnet50,224,0,01,45,0.81905,0.91292,0.0663
