dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,pooled_split,resnet50,224,0,overall,1,0.65086,0.73952,0.66449
HTP,pooled_split,resnet50,224,0,00,1,0.52055,0.50461,0.66449
HTP,pooled_split,resnet50,224,0,01,1,0.7619,0.90058,0.66449
HTP,pooled_split,resnet50,224,0,02,1,0.61111,0.6648,0.66449
HTP,pooled_split,resnet50,224,0,overall,2,0.68966,0.75659,0.56958
HTP,pooled_split,resnet50,224,0,00,2,0.57534,0.53994,0.56958
HTP,pooled_split,resnet50,224,0,01,2,0.81905,0.91473,0.56958
HTP,pooled_split,resnet50,224,0,02,2,0.59259,0.62693,0.56958
HTP,pooled_split,resnet50,224,0,overall,3,0.67241,0.77246,0.51558
HTP,pooled_split,resnet50,224,0,00,3,0.60274,0.6275,0.51558
HTP,pooled_split,resnet50,224,0,01,3,0.78095,0.90348,0.51558
HTP,pooled_split,resnet50,224,0,02,3,0.55556,0.62833,0.51558
HTP,pooled_split,resnet50,224,0,overall,4,0.71121,0.78953,0.47551
HTP,pooled_split,resnet50,224,0,00,4,0.54795,0.59908,0.47551
HTP,pooled_split,resnet50,224,0,01,4,0.87619,0.93904,0.47551
HTP,pooled_split,resnet50,224,0,02,4,0.61111,0.58485,0.47551
HTP,pooled_split,resnet50,224,0,overall,5,0.68103,0.7816,0.43046
HTP,pooled_split,resnet50,224,0,00,5,0.63014,0.65054,0.43046
HTP,pooled_split,resnet50,224,0,01,5,0.81905,0.92235,0.43046
HTP,pooled_split,resnet50,224,0,02,5,0.48148,0.51613,0.43046
HTP,pooled_split,resnet50,224,0,overall,6,0.65948,0.74,0.40724
HTP,pooled_split,resnet50,224,0,00,6,0.65753,0.62058,0.40724
HTP,pooled_split,resnet50,224,0,01,6,0.74286,0.90784,0.40724
HTP,pooled_split,resnet50,224,0,02,6,0.5,0.42637,0.40724
HTP,pooled_split,resnet50,224,0,overall,7,0.67672,0.77808,0.37315
HTP,pooled_split,resnet50,224,0,00,7,0.56164,0.61598,0.37315
HTP,pooled_split,resnet50,224,0,01,7,0.86667,0.93868,0.37315
HTP,pooled_split,resnet50,224,0,02,7,0.46296,0.52595,0.37315
HTP,pooled_split,resnet50,224,0,overall,8,0.7069,0.79096,0.31733
HTP,pooled_split,resnet50,224,0,00,8,0.64384,0.64209,0.31733
HTP,pooled_split,resnet50,224,0,01,8,0.84762,0.93868,0.31733
HTP,pooled_split,resnet50,224,0,02,8,0.51852,0.554,0.31733
HTP,pooled_split,resnet50,224,0,overall,9,0.68966,0.76138,0.29107
HTP,pooled_split,resnet50,224,0,00,9,0.56164,0.5937,0.29107
HTP,pooled_split,resnet50,224,0,01,9,0.82857,0.91727,0.29107
HTP,pooled_split,resnet50,224,0,02,9,0.59259,0.554,0.29107
HTP,pooled_split,resnet50,224,0,overall,10,0.65948,0.73166,0.26505
HTP,pooled_split,resnet50,224,0,00,10,0.57534,0.64132,0.26505
HTP,pooled_split,resnet50,224,0,01,10,0.82857,0.90385,0.26505
HTP,pooled_split,resnet50,224,0,02,10,0.44444,0.42637,0.26505
HTP,pooled_split,resnet50,224,0,overall,11,0.68534,0.73697,0.25258
HTP,pooled_split,resnet50,224,0,00,11,0.58904,0.57296,0.25258
HTP,pooled_split,resnet50,224,0,01,11,0.8381,0.91836,0.25258
HTP,pooled_split,resnet50,224,0,02,11,0.51852,0.50771,0.25258
HTP,pooled_split,resnet50,224,0,overall,12,0.63362,0.72619,0.22319
HTP,pooled_split,resnet50,224,0,00,12,0.53425,0.55684,0.22319
HTP,pooled_split,resnet50,224,0,01,12,0.79048,0.91618,0.22319
HTP,pooled_split,resnet50,224,0,02,12,0.46296,0.45582,0.22319
HTP,pooled_split,resnet50,224,0,overall,13,0.6681,0.73428,0.19876
HTP,pooled_split,resnet50,224,0,00,13,0.60274,0.59985,0.19876
HTP,pooled_split,resnet50,224,0,01,13,0.80952,0.90711,0.19876
HTP,pooled_split,resnet50,224,0,02,13,0.48148,0.46143,0.19876
HTP,pooled_split,resnet50,224,0,overall,14,0.62069,0.73495,0.20355
HTP,pooled_split,resnet50,224,0,00,14,0.57534,0.64823,0.20355
HTP,pooled_split,resnet50,224,0,01,14,0.69524,0.89768,0.20355
HTP,pooled_split,resnet50,224,0,02,14,0.53704,0.46564,0.20355
HTP,pooled_split,resnet50,224,0,overall,15,0.63362,0.71885,0.20998
HTP,pooled_split,resnet50,224,0,00,15,0.53425,0.56144,0.20998
HTP,pooled_split,resnet50,224,0,01,15,0.77143,0.89514,0.20998
HTP,pooled_split,resnet50,224,0,02,15,0.5,0.49229,0.20998
HTP,pooled_split,resnet50,224,0,overall,16,0.66379,0.75442,0.23117
HTP,pooled_split,resnet50,224,0,00,16,0.52055,0.53763,0.23117
HTP,pooled_split,resnet50,224,0,01,16,0.81905,0.92453,0.23117
HTP,pooled_split,resnet50,224,0,02,16,0.55556,0.58485,0.23117
HTP,pooled_split,resnet50,224,0,overall,17,0.66379,0.76205,0.1963
HTP,pooled_split,resnet50,224,0,00,17,0.57534,0.57296,0.1963
HTP,pooled_split,resnet50,224,0,01,17,0.85714,0.94013,0.1963
HTP,pooled_split,resnet50,224,0,02,17,0.40741,0.49229,0.1963
HTP,pooled_split,resnet50,224,0,overall,18,0.67672,0.73907,0.17079
