nohup: 忽略输入
设备 cuda | arch resnet50 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6645    0.651    0.740    10.5
     2     0.5696    0.690    0.757     3.0
     3     0.5156    0.672    0.772     3.0
     4     0.4755    0.711    0.790     3.0
     5     0.4305    0.681    0.782     3.0
     6     0.4072    0.659    0.740     3.0
     7     0.3732    0.677    0.778     3.1
     8     0.3173    0.707    0.791     3.0
     9     0.2911    0.690    0.761     3.0
    10     0.2650    0.659    0.732     3.0
    11     0.2526    0.685    0.737     3.0
    12     0.2232    0.634    0.726     3.0
    13     0.1988    0.668    0.734     3.0
    14     0.2035    0.621    0.735     3.0
    15     0.2100    0.634    0.719     3.0
    16     0.2312    0.664    0.754     3.0
    17     0.1963    0.664    0.762     3.0
    18     0.1708    0.677    0.739     3.0
    19     0.1716    0.677    0.742     3.0
    20     0.1836    0.672    0.742     3.0
    21     0.1503    0.672    0.749     3.0
    22     0.1718    0.664    0.750     3.0
    23     0.1683    0.625    0.729     3.0
    24     0.1560    0.634    0.721     3.0
    25     0.1714    0.647    0.716     3.0
    26     0.1467    0.634    0.723     3.0
    27     0.1560    0.647    0.723     3.0
    28     0.1314    0.651    0.728     3.0
    29     0.1290    0.668    0.710     3.0
    30     0.1304    0.612    0.716     3.0
    31     0.1414    0.664    0.743     3.0
    32     0.1431    0.664    0.726     3.0
    33     0.1235    0.659    0.718     3.0
    34     0.1254    0.655    0.709     3.0
    35     0.1432    0.668    0.712     3.0
    36     0.1035    0.694    0.749     3.0
    37     0.1355    0.625    0.698     3.0
    38     0.1360    0.655    0.734     3.0
    39     0.1336    0.659    0.715     3.0
    40     0.1341    0.638    0.692     3.0
    41     0.1163    0.647    0.743     3.0
    42     0.1092    0.681    0.738     3.0
    43     0.0868    0.668    0.744     3.0
    44     0.1354    0.651    0.752     3.0
    45     0.0864    0.664    0.749     3.1
    46     0.1028    0.716    0.765     3.0
    47     0.1439    0.659    0.753     3.2
    48     0.1176    0.634    0.723     3.0
    49     0.1082    0.668    0.726     3.2
    50     0.1011    0.659    0.752     3.5
[seed=0 size=224 pooled_split] 末轮 acc 0.659（记进汇总的是这个）   最好 epoch acc 0.716（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=0 size=640 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6437    0.681    0.758    31.0
     2     0.5591    0.694    0.793    17.5
     3     0.5291    0.677    0.742    17.2
     4     0.5077    0.690    0.799    17.7
     5     0.4459    0.621    0.768    18.2
     6     0.4093    0.703    0.758    18.5
     7     0.3956    0.681    0.719    18.3
     8     0.3415    0.672    0.717    18.9
     9     0.3032    0.634    0.734    18.6
    10     0.2694    0.668    0.760    16.3
    11     0.2323    0.672    0.745    16.3
    12     0.2227    0.681    0.766    16.8
    13     0.1786    0.677    0.770    16.8
    14     0.2020    0.629    0.730    14.5
    15     0.1409    0.668    0.747    13.6
    16     0.1560    0.685    0.784    13.3
    17     0.1673    0.690    0.765    13.6
    18     0.1487    0.711    0.780    13.4
    19     0.1404    0.651    0.728    13.5
    20     0.1482    0.672    0.774    13.6
    21     0.1551    0.642    0.748    13.4
    22     0.1200    0.681    0.752    13.4
    23     0.1227    0.677    0.747    13.6
    24     0.1037    0.690    0.746    13.4
    25     0.0986    0.608    0.691    13.4
    26     0.1036    0.690    0.771    13.7
    27     0.1464    0.659    0.743    13.5
    28     0.0892    0.655    0.737    13.6
    29     0.0826    0.664    0.744    13.5
    30     0.0923    0.664    0.758    13.6
    31     0.0874    0.655    0.756    13.7
    32     0.0663    0.638    0.742    13.7
    33     0.0603    0.659    0.764    13.6
    34     0.0624    0.681    0.748    13.6
    35     0.0820    0.664    0.754    13.3
    36     0.0668    0.664    0.756    13.5
    37     0.0855    0.681    0.769    13.5
    38     0.1114    0.612    0.723    13.4
    39     0.0690    0.681    0.721    13.1
    40     0.0612    0.685    0.753    13.2
    41     0.0712    0.690    0.769    13.2
    42     0.1069    0.659    0.727    13.3
    43     0.0728    0.664    0.753    13.3
    44     0.0774    0.642    0.729    13.4
    45     0.0624    0.672    0.744    13.3
    46     0.0506    0.694    0.765    13.4
    47     0.0625    0.677    0.772    13.1
    48     0.0615    0.681    0.769    13.3
    49     0.0659    0.703    0.753    13.0
    50     0.0817    0.681    0.746    13.2
[seed=0 size=640 pooled_split] 末轮 acc 0.681（记进汇总的是这个）   最好 epoch acc 0.711（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=1 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6440    0.659    0.732     3.0
     2     0.5622    0.694    0.761     3.0
     3     0.5240    0.616    0.753     3.0
     4     0.4718    0.698    0.772     3.0
     5     0.4319    0.728    0.788     3.0
     6     0.3873    0.664    0.737     3.0
     7     0.3418    0.711    0.770     3.0
     8     0.3036    0.694    0.749     3.0
     9     0.2836    0.677    0.748     3.0
    10     0.2842    0.634    0.696     3.0
    11     0.2305    0.677    0.752     3.0
    12     0.2372    0.672    0.751     3.0
    13     0.2350    0.698    0.784     3.0
    14     0.1968    0.659    0.768     3.0
    15     0.1714    0.677    0.772     3.0
    16     0.1755    0.681    0.747     3.0
    17     0.1827    0.685    0.755     3.0
    18     0.1879    0.690    0.770     3.0
    19     0.1902    0.685    0.777     3.0
    20     0.1418    0.651    0.735     3.0
    21     0.1429    0.681    0.738     3.0
    22     0.1504    0.647    0.755     3.0
    23     0.1273    0.638    0.698     3.0
    24     0.1436    0.664    0.739     3.0
    25     0.1274    0.647    0.747     3.0
    26     0.1514    0.681    0.730     3.0
    27     0.1341    0.651    0.749     3.0
    28     0.1732    0.694    0.756     3.0
    29     0.1322    0.698    0.742     3.0
    30     0.1288    0.642    0.706     3.0
    31     0.1460    0.659    0.723     3.0
    32     0.1541    0.668    0.748     3.0
    33     0.1141    0.716    0.762     3.0
    34     0.1172    0.677    0.739     3.0
    35     0.1041    0.647    0.753     3.0
    36     0.1314    0.664    0.745     3.0
    37     0.1169    0.638    0.691     3.0
    38     0.0982    0.668    0.726     3.0
    39     0.0843    0.659    0.737     3.0
    40     0.1174    0.651    0.735     3.0
    41     0.1237    0.647    0.714     3.0
    42     0.1039    0.659    0.734     3.0
    43     0.1154    0.638    0.722     3.0
    44     0.1023    0.668    0.764     3.0
    45     0.1081    0.668    0.733     3.0
    46     0.1327    0.690    0.756     3.0
