dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,pooled_split,vit_b_16,224,0,overall,1,0.5819,0.59636,0.71977
HTP,pooled_split,vit_b_16,224,0,00,1,0.57534,0.58525,0.71977
HTP,pooled_split,vit_b_16,224,0,01,1,0.54286,0.56604,0.71977
HTP,pooled_split,vit_b_16,224,0,02,1,0.66667,0.63114,0.71977
HTP,pooled_split,vit_b_16,224,0,overall,2,0.5431,0.58479,0.69203
HTP,pooled_split,vit_b_16,224,0,00,2,0.57534,0.58487,0.69203
HTP,pooled_split,vit_b_16,224,0,01,2,0.50476,0.60885,0.69203
HTP,pooled_split,vit_b_16,224,0,02,2,0.57407,0.53015,0.69203
HTP,pooled_split,vit_b_16,224,0,overall,3,0.48707,0.5566,0.68014
HTP,pooled_split,vit_b_16,224,0,00,3,0.46575,0.63249,0.68014
HTP,pooled_split,vit_b_16,224,0,01,3,0.50476,0.42417,0.68014
HTP,pooled_split,vit_b_16,224,0,02,3,0.48148,0.60309,0.68014
HTP,pooled_split,vit_b_16,224,0,overall,4,0.45259,0.54706,0.68704
HTP,pooled_split,vit_b_16,224,0,00,4,0.42466,0.52496,0.68704
HTP,pooled_split,vit_b_16,224,0,01,4,0.49524,0.64568,0.68704
HTP,pooled_split,vit_b_16,224,0,02,4,0.40741,0.5,0.68704
HTP,pooled_split,vit_b_16,224,0,overall,5,0.5431,0.59614,0.68878
HTP,pooled_split,vit_b_16,224,0,00,5,0.57534,0.58717,0.68878
HTP,pooled_split,vit_b_16,224,0,01,5,0.50476,0.61557,0.68878
HTP,pooled_split,vit_b_16,224,0,02,5,0.57407,0.57784,0.68878
HTP,pooled_split,vit_b_16,224,0,overall,6,0.49138,0.55825,0.67034
HTP,pooled_split,vit_b_16,224,0,00,6,0.47945,0.57104,0.67034
HTP,pooled_split,vit_b_16,224,0,01,6,0.51429,0.48585,0.67034
HTP,pooled_split,vit_b_16,224,0,02,6,0.46296,0.58065,0.67034
HTP,pooled_split,vit_b_16,224,0,overall,7,0.51293,0.59093,0.68218
HTP,pooled_split,vit_b_16,224,0,00,7,0.49315,0.60753,0.68218
HTP,pooled_split,vit_b_16,224,0,01,7,0.52381,0.56096,0.68218
HTP,pooled_split,vit_b_16,224,0,02,7,0.51852,0.58065,0.68218
HTP,pooled_split,vit_b_16,224,0,overall,8,0.5431,0.60332,0.68319
HTP,pooled_split,vit_b_16,224,0,00,8,0.57534,0.60138,0.68319
HTP,pooled_split,vit_b_16,224,0,01,8,0.50476,0.61956,0.68319
HTP,pooled_split,vit_b_16,224,0,02,8,0.57407,0.54418,0.68319
HTP,pooled_split,vit_b_16,224,0,overall,9,0.5431,0.58277,0.66994
HTP,pooled_split,vit_b_16,224,0,00,9,0.57534,0.56029,0.66994
HTP,pooled_split,vit_b_16,224,0,01,9,0.50476,0.59434,0.66994
HTP,pooled_split,vit_b_16,224,0,02,9,0.57407,0.54698,0.66994
HTP,pooled_split,vit_b_16,224,0,overall,10,0.5431,0.608,0.66808
HTP,pooled_split,vit_b_16,224,0,00,10,0.57534,0.58641,0.66808
HTP,pooled_split,vit_b_16,224,0,01,10,0.50476,0.61702,0.66808
HTP,pooled_split,vit_b_16,224,0,02,10,0.57407,0.60309,0.66808
HTP,pooled_split,vit_b_16,224,0,overall,11,0.53448,0.57454,0.66471
HTP,pooled_split,vit_b_16,224,0,00,11,0.50685,0.56951,0.66471
HTP,pooled_split,vit_b_16,224,0,01,11,0.54286,0.57039,0.66471
HTP,pooled_split,vit_b_16,224,0,02,11,0.55556,0.56311,0.66471
HTP,pooled_split,vit_b_16,224,0,overall,12,0.56034,0.59614,0.65706
HTP,pooled_split,vit_b_16,224,0,00,12,0.53425,0.59293,0.65706
HTP,pooled_split,vit_b_16,224,0,01,12,0.58095,0.59996,0.65706
HTP,pooled_split,vit_b_16,224,0,02,12,0.55556,0.56241,0.65706
HTP,pooled_split,vit_b_16,224,0,overall,13,0.5431,0.61171,0.66159
HTP,pooled_split,vit_b_16,224,0,00,13,0.57534,0.57143,0.66159
HTP,pooled_split,vit_b_16,224,0,01,13,0.50476,0.62845,0.66159
HTP,pooled_split,vit_b_16,224,0,02,13,0.57407,0.62412,0.66159
HTP,pooled_split,vit_b_16,224,0,overall,14,0.56034,0.59471,0.67113
HTP,pooled_split,vit_b_16,224,0,00,14,0.53425,0.58717,0.67113
HTP,pooled_split,vit_b_16,224,0,01,14,0.5619,0.61611,0.67113
HTP,pooled_split,vit_b_16,224,0,02,14,0.59259,0.53436,0.67113
HTP,pooled_split,vit_b_16,224,0,overall,15,0.54741,0.60928,0.66687
HTP,pooled_split,vit_b_16,224,0,00,15,0.56164,0.60637,0.66687
HTP,pooled_split,vit_b_16,224,0,01,15,0.52381,0.62319,0.66687
HTP,pooled_split,vit_b_16,224,0,02,15,0.57407,0.54979,0.66687
HTP,pooled_split,vit_b_16,224,0,overall,16,0.57759,0.57289,0.65571
HTP,pooled_split,vit_b_16,224,0,00,16,0.52055,0.54724,0.65571
HTP,pooled_split,vit_b_16,224,0,01,16,0.6,0.60269,0.65571
HTP,pooled_split,vit_b_16,224,0,02,16,0.61111,0.5554,0.65571
HTP,pooled_split,vit_b_16,224,0,overall,17,0.57328,0.61324,0.65095
HTP,pooled_split,vit_b_16,224,0,00,17,0.52055,0.54378,0.65095
HTP,pooled_split,vit_b_16,224,0,01,17,0.62857,0.67017,0.65095
HTP,pooled_split,vit_b_16,224,0,02,17,0.53704,0.59607,0.65095
HTP,pooled_split,vit_b_16,224,0,overall,18,0.57759,0.59247,0.6582
HTP,pooled_split,vit_b_16,224,0,00,18,0.56164,0.57834,0.6582
HTP,pooled_split,vit_b_16,224,0,01,18,0.58095,0.59053,0.6582
HTP,pooled_split,vit_b_16,224,0,02,18,0.59259,0.53997,0.6582
HTP,pooled_split,vit_b_16,224,0,overall,19,0.5431,0.61186,0.64897
HTP,pooled_split,vit_b_16,224,0,00,19,0.57534,0.62097,0.64897
HTP,pooled_split,vit_b_16,224,0,01,19,0.50476,0.62954,0.64897
HTP,pooled_split,vit_b_16,224,0,02,19,0.57407,0.5554,0.64897
HTP,pooled_split,vit_b_16,224,0,overall,20,0.5431,0.61208,0.65031
HTP,pooled_split,vit_b_16,224,0,00,20,0.57534,0.61214,0.65031
HTP,pooled_split,vit_b_16,224,0,01,20,0.50476,0.64042,0.65031
HTP,pooled_split,vit_b_16,224,0,02,20,0.57407,0.57223,0.65031
HTP,pooled_split,vit_b_16,224,0,overall,21,0.55603,0.61938,0.63662
HTP,pooled_split,vit_b_16,224,0,00,21,0.54795,0.59332,0.63662
HTP,pooled_split,vit_b_16,224,0,01,21,0.5619,0.66909,0.63662
HTP,pooled_split,vit_b_16,224,0,02,21,0.55556,0.53857,0.63662
HTP,pooled_split,vit_b_16,224,0,overall,22,0.57759,0.60437,0.66698
HTP,pooled_split,vit_b_16,224,0,00,22,0.58904,0.62903,0.66698
HTP,pooled_split,vit_b_16,224,0,01,22,0.55238,0.60559,0.66698
HTP,pooled_split,vit_b_16,224,0,02,22,0.61111,0.57223,0.66698
HTP,pooled_split,vit_b_16,224,0,overall,23,0.54741,0.62069,0.6505
HTP,pooled_split,vit_b_16,224,0,00,23,0.50685,0.64708,0.6505
HTP,pooled_split,vit_b_16,224,0,01,23,0.5619,0.58527,0.6505
HTP,pooled_split,vit_b_16,224,0,02,23,0.57407,0.62833,0.6505
HTP,pooled_split,vit_b_16,224,0,overall,24,0.59914,0.63451,0.64461
HTP,pooled_split,vit_b_16,224,0,00,24,0.54795,0.58372,0.64461
HTP,pooled_split,vit_b_16,224,0,01,24,0.6381,0.66636,0.64461
HTP,pooled_split,vit_b_16,224,0,02,24,0.59259,0.64095,0.64461
HTP,pooled_split,vit_b_16,224,0,overall,25,0.52155,0.58262,0.66499
HTP,pooled_split,vit_b_16,224,0,00,25,0.47945,0.53303,0.66499
HTP,pooled_split,vit_b_16,224,0,01,25,0.55238,0.59888,0.66499
HTP,pooled_split,vit_b_16,224,0,02,25,0.51852,0.56662,0.66499
HTP,pooled_split,vit_b_16,224,0,overall,26,0.51724,0.52718,0.63453
HTP,pooled_split,vit_b_16,224,0,00,26,0.47945,0.47811,0.63453
HTP,pooled_split,vit_b_16,224,0,01,26,0.54286,0.53719,0.63453
HTP,pooled_split,vit_b_16,224,0,02,26,0.51852,0.57504,0.63453
HTP,pooled_split,vit_b_16,224,0,overall,27,0.5431,0.587,0.64606
HTP,pooled_split,vit_b_16,224,0,00,27,0.57534,0.56106,0.64606
HTP,pooled_split,vit_b_16,224,0,01,27,0.50476,0.5635,0.64606
HTP,pooled_split,vit_b_16,224,0,02,27,0.57407,0.59748,0.64606
HTP,pooled_split,vit_b_16,224,0,overall,28,0.5431,0.60804,0.65816
HTP,pooled_split,vit_b_16,224,0,00,28,0.57534,0.58218,0.65816
HTP,pooled_split,vit_b_16,224,0,01,28,0.50476,0.5996,0.65816
HTP,pooled_split,vit_b_16,224,0,02,28,0.57407,0.62202,0.65816
HTP,pooled_split,vit_b_16,224,0,overall,29,0.64224,0.68396,0.63024
HTP,pooled_split,vit_b_16,224,0,00,29,0.54795,0.65899,0.63024
HTP,pooled_split,vit_b_16,224,0,01,29,0.69524,0.72859,0.63024
HTP,pooled_split,vit_b_16,224,0,02,29,0.66667,0.62973,0.63024
HTP,pooled_split,vit_b_16,224,0,overall,30,0.58621,0.66277,0.63549
HTP,pooled_split,vit_b_16,224,0,00,30,0.54795,0.62135,0.63549
HTP,pooled_split,vit_b_16,224,0,01,30,0.59048,0.709,0.63549
HTP,pooled_split,vit_b_16,224,0,02,30,0.62963,0.61431,0.63549
HTP,pooled_split,vit_b_16,224,0,overall,31,0.5431,0.62141,0.63758
HTP,pooled_split,vit_b_16,224,0,00,31,0.60274,0.65899,0.63758
HTP,pooled_split,vit_b_16,224,0,01,31,0.50476,0.64242,0.63758
HTP,pooled_split,vit_b_16,224,0,02,31,0.53704,0.53296,0.63758
HTP,pooled_split,vit_b_16,224,0,overall,32,0.63793,0.73428,0.63447
HTP,pooled_split,vit_b_16,224,0,00,32,0.57534,0.66283,0.63447
HTP,pooled_split,vit_b_16,224,0,01,32,0.66667,0.82837,0.63447
HTP,pooled_split,vit_b_16,224,0,02,32,0.66667,0.61851,0.63447
HTP,pooled_split,vit_b_16,224,0,overall,33,0.5819,0.67453,0.61613
HTP,pooled_split,vit_b_16,224,0,00,33,0.56164,0.57757,0.61613
HTP,pooled_split,vit_b_16,224,0,01,33,0.59048,0.74692,0.61613
HTP,pooled_split,vit_b_16,224,0,02,33,0.59259,0.65919,0.61613
HTP,pooled_split,vit_b_16,224,0,overall,34,0.67241,0.71178,0.61695
HTP,pooled_split,vit_b_16,224,0,00,34,0.52055,0.64286,0.61695
HTP,pooled_split,vit_b_16,224,0,01,34,0.78095,0.80044,0.61695
HTP,pooled_split,vit_b_16,224,0,02,34,0.66667,0.66059,0.61695
HTP,pooled_split,vit_b_16,224,0,overall,35,0.5431,0.66311,0.62813
HTP,pooled_split,vit_b_16,224,0,00,35,0.57534,0.63978,0.62813
HTP,pooled_split,vit_b_16,224,0,01,35,0.50476,0.70501,0.62813
HTP,pooled_split,vit_b_16,224,0,02,35,0.57407,0.65217,0.62813
