dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,per_env,vit_b_16,224,0,00,1,0.57534,0.45661,0.80813
HTP,per_env,vit_b_16,224,0,00,2,0.57534,0.44969,0.71311
HTP,per_env,vit_b_16,224,0,00,3,0.57534,0.58948,0.69316
HTP,per_env,vit_b_16,224,0,00,4,0.57534,0.58679,0.69139
HTP,per_env,vit_b_16,224,0,00,5,0.57534,0.57028,0.68744
HTP,per_env,vit_b_16,224,0,00,6,0.57534,0.57028,0.68633
HTP,per_env,vit_b_16,224,0,00,7,0.57534,0.57373,0.68483
HTP,per_env,vit_b_16,224,0,00,8,0.46575,0.5649,0.68684
HTP,per_env,vit_b_16,224,0,00,9,0.57534,0.56989,0.6936
HTP,per_env,vit_b_16,224,0,00,10,0.57534,0.56068,0.67523
HTP,per_env,vit_b_16,224,0,00,11,0.57534,0.55914,0.69181
HTP,per_env,vit_b_16,224,0,00,12,0.57534,0.56797,0.66816
HTP,per_env,vit_b_16,224,0,00,13,0.57534,0.56567,0.68103
HTP,per_env,vit_b_16,224,0,00,14,0.57534,0.55684,0.67718
HTP,per_env,vit_b_16,224,0,00,15,0.57534,0.56644,0.69242
HTP,per_env,vit_b_16,224,0,00,16,0.57534,0.57335,0.68116
HTP,per_env,vit_b_16,224,0,00,17,0.57534,0.56528,0.67072
HTP,per_env,vit_b_16,224,0,00,18,0.57534,0.56528,0.67975
HTP,per_env,vit_b_16,224,0,00,19,0.57534,0.55645,0.66493
HTP,per_env,vit_b_16,224,0,00,20,0.57534,0.55223,0.67727
HTP,per_env,vit_b_16,224,0,00,21,0.57534,0.54877,0.67544
HTP,per_env,vit_b_16,224,0,00,22,0.57534,0.56759,0.66721
HTP,per_env,vit_b_16,224,0,00,23,0.57534,0.56528,0.67004
HTP,per_env,vit_b_16,224,0,00,24,0.57534,0.55338,0.66555
HTP,per_env,vit_b_16,224,0,00,25,0.57534,0.56106,0.67161
HTP,per_env,vit_b_16,224,0,00,26,0.57534,0.56144,0.67027
HTP,per_env,vit_b_16,224,0,00,27,0.57534,0.57028,0.67114
HTP,per_env,vit_b_16,224,0,00,28,0.57534,0.57565,0.65334
HTP,per_env,vit_b_16,224,0,00,29,0.57534,0.59178,0.65342
HTP,per_env,vit_b_16,224,0,00,30,0.57534,0.50998,0.6563
HTP,per_env,vit_b_16,224,0,00,31,0.57534,0.47581,0.66057
HTP,per_env,vit_b_16,224,0,00,32,0.57534,0.48157,0.6522
HTP,per_env,vit_b_16,224,0,00,33,0.57534,0.5768,0.66811
HTP,per_env,vit_b_16,224,0,00,34,0.57534,0.55991,0.67563
HTP,per_env,vit_b_16,224,0,00,35,0.57534,0.57104,0.66543
HTP,per_env,vit_b_16,224,0,00,36,0.57534,0.5722,0.66463
HTP,per_env,vit_b_16,224,0,00,37,0.57534,0.57296,0.65763
HTP,per_env,vit_b_16,224,0,00,38,0.49315,0.5096,0.66435
HTP,per_env,vit_b_16,224,0,00,39,0.57534,0.56106,0.66374
HTP,per_env,vit_b_16,224,0,00,40,0.57534,0.54109,0.64901
HTP,per_env,vit_b_16,224,0,00,41,0.57534,0.49578,0.64968
HTP,per_env,vit_b_16,224,0,00,42,0.57534,0.51651,0.64531
HTP,per_env,vit_b_16,224,0,00,43,0.46575,0.49078,0.64491
HTP,per_env,vit_b_16,224,0,00,44,0.50685,0.41398,0.66428
HTP,per_env,vit_b_16,224,0,00,45,0.57534,0.49885,0.66538
HTP,per_env,vit_b_16,224,0,00,46,0.53425,0.44624,0.66829
HTP,per_env,vit_b_16,224,0,00,47,0.57534,0.5,0.63207
HTP,per_env,vit_b_16,224,0,00,48,0.56164,0.48925,0.64599
HTP,per_env,vit_b_16,224,0,00,49,0.57534,0.45622,0.63096
HTP,per_env,vit_b_16,224,0,00,50,0.56164,0.46083,0.67679
HTP,per_env,vit_b_16,224,0,01,1,0.52381,0.82602,0.7161
HTP,per_env,vit_b_16,224,0,01,2,0.72381,0.89296,0.53445
HTP,per_env,vit_b_16,224,0,01,3,0.73333,0.78701,0.50301
HTP,per_env,vit_b_16,224,0,01,4,0.67619,0.82511,0.39721
HTP,per_env,vit_b_16,224,0,01,5,0.78095,0.88026,0.44325
HTP,per_env,vit_b_16,224,0,01,6,0.80952,0.90167,0.31323
HTP,per_env,vit_b_16,224,0,01,7,0.77143,0.88716,0.34498
HTP,per_env,vit_b_16,224,0,01,8,0.79048,0.88643,0.27846
HTP,per_env,vit_b_16,224,0,01,9,0.70476,0.87119,0.33985
HTP,per_env,vit_b_16,224,0,01,10,0.75238,0.87083,0.32369
HTP,per_env,vit_b_16,224,0,01,11,0.80952,0.86502,0.32371
HTP,per_env,vit_b_16,224,0,01,12,0.77143,0.89042,0.26301
HTP,per_env,vit_b_16,224,0,01,13,0.7619,0.87772,0.27009
HTP,per_env,vit_b_16,224,0,01,14,0.80952,0.89949,0.29059
HTP,per_env,vit_b_16,224,0,01,15,0.81905,0.89586,0.31234
HTP,per_env,vit_b_16,224,0,01,16,0.8,0.89115,0.20352
HTP,per_env,vit_b_16,224,0,01,17,0.75238,0.85813,0.25833
HTP,per_env,vit_b_16,224,0,01,18,0.74286,0.832,0.19767
HTP,per_env,vit_b_16,224,0,01,19,0.8,0.87446,0.25582
HTP,per_env,vit_b_16,224,0,01,20,0.7619,0.84906,0.27756
HTP,per_env,vit_b_16,224,0,01,21,0.81905,0.9111,0.21694
HTP,per_env,vit_b_16,224,0,01,22,0.85714,0.91473,0.20385
HTP,per_env,vit_b_16,224,0,01,23,0.7619,0.81422,0.25369
HTP,per_env,vit_b_16,224,0,01,24,0.81905,0.90131,0.21958
HTP,per_env,vit_b_16,224,0,01,25,0.78095,0.8984,0.14954
HTP,per_env,vit_b_16,224,0,01,26,0.82857,0.89804,0.20981
HTP,per_env,vit_b_16,224,0,01,27,0.84762,0.93197,0.16729
HTP,per_env,vit_b_16,224,0,01,28,0.82857,0.9111,0.24791
HTP,per_env,vit_b_16,224,0,01,29,0.75238,0.83599,0.21375
HTP,per_env,vit_b_16,224,0,01,30,0.66667,0.75544,0.21428
HTP,per_env,vit_b_16,224,0,01,31,0.72381,0.79826,0.24893
HTP,per_env,vit_b_16,224,0,01,32,0.7619,0.87155,0.22561
HTP,per_env,vit_b_16,224,0,01,33,0.80952,0.87409,0.18976
HTP,per_env,vit_b_16,224,0,01,34,0.80952,0.87554,0.16162
HTP,per_env,vit_b_16,224,0,01,35,0.8,0.88099,0.16964
HTP,per_env,vit_b_16,224,0,01,36,0.7619,0.9033,0.20821
HTP,per_env,vit_b_16,224,0,01,37,0.85714,0.88824,0.16304
HTP,per_env,vit_b_16,224,0,01,38,0.80952,0.88353,0.16445
HTP,per_env,vit_b_16,224,0,01,39,0.82857,0.88824,0.16807
HTP,per_env,vit_b_16,224,0,01,40,0.8,0.90294,0.24089
HTP,per_env,vit_b_16,224,0,01,41,0.81905,0.91001,0.19471
HTP,per_env,vit_b_16,224,0,01,42,0.81905,0.89623,0.15148
HTP,per_env,vit_b_16,224,0,01,43,0.80952,0.90094,0.15613
HTP,per_env,vit_b_16,224,0,01,44,0.80952,0.89804,0.14789
HTP,per_env,vit_b_16,224,0,01,45,0.85714,0.92271,0.1658
HTP,per_env,vit_b_16,224,0,01,46,0.8381,0.91328,0.1102
HTP,per_env,vit_b_16,224,0,01,47,0.81905,0.88824,0.19805
HTP,per_env,vit_b_16,224,0,01,48,0.8,0.91292,0.16178
HTP,per_env,vit_b_16,224,0,01,49,0.81905,0.90421,0.13761
HTP,per_env,vit_b_16,224,0,01,50,0.82857,0.92779,0.17747
HTP,per_env,vit_b_16,224,0,02,1,0.57407,0.70126,0.72737
HTP,per_env,vit_b_16,224,0,02,2,0.61111,0.54278,0.75591
HTP,per_env,vit_b_16,224,0,02,3,0.57407,0.67321,0.66627
HTP,per_env,vit_b_16,224,0,02,4,0.57407,0.64797,0.69079
HTP,per_env,vit_b_16,224,0,02,5,0.64815,0.72931,0.61127
HTP,per_env,vit_b_16,224,0,02,6,0.68519,0.71108,0.57939
HTP,per_env,vit_b_16,224,0,02,7,0.57407,0.56101,0.50226
HTP,per_env,vit_b_16,224,0,02,8,0.53704,0.59748,0.57347
HTP,per_env,vit_b_16,224,0,02,9,0.66667,0.61851,0.52304
HTP,per_env,vit_b_16,224,0,02,10,0.55556,0.59467,0.45201
HTP,per_env,vit_b_16,224,0,02,11,0.61111,0.65358,0.42404
HTP,per_env,vit_b_16,224,0,02,12,0.61111,0.64236,0.38968
HTP,per_env,vit_b_16,224,0,02,13,0.62963,0.65498,0.32244
HTP,per_env,vit_b_16,224,0,02,14,0.53704,0.61851,0.24519
HTP,per_env,vit_b_16,224,0,02,15,0.57407,0.65217,0.2731
HTP,per_env,vit_b_16,224,0,02,16,0.59259,0.65778,0.37249
