nohup: 忽略输入
设备 cuda | arch vit_b_16 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
     1     0.7198    0.582    0.596     5.8
     2     0.6920    0.543    0.585     5.1
     3     0.6801    0.487    0.557     5.1
     4     0.6870    0.453    0.547     5.1
     5     0.6888    0.543    0.596     5.1
     6     0.6703    0.491    0.558     5.1
     7     0.6822    0.513    0.591     5.1
     8     0.6832    0.543    0.603     5.1
     9     0.6699    0.543    0.583     5.2
    10     0.6681    0.543    0.608     5.1
    11     0.6647    0.534    0.575     5.1
    12     0.6571    0.560    0.596     5.1
    13     0.6616    0.543    0.612     5.1
    14     0.6711    0.560    0.595     5.1
    15     0.6669    0.547    0.609     5.1
    16     0.6557    0.578    0.573     5.1
    17     0.6510    0.573    0.613     5.1
    18     0.6582    0.578    0.592     5.1
    19     0.6490    0.543    0.612     5.1
    20     0.6503    0.543    0.612     5.1
    21     0.6366    0.556    0.619     5.1
    22     0.6670    0.578    0.604     5.1
    23     0.6505    0.547    0.621     5.1
    24     0.6446    0.599    0.635     5.1
    25     0.6650    0.522    0.583     5.2
    26     0.6345    0.517    0.527     5.1
    27     0.6461    0.543    0.587     5.1
    28     0.6582    0.543    0.608     5.2
    29     0.6302    0.642    0.684     5.1
    30     0.6355    0.586    0.663     5.1
    31     0.6376    0.543    0.621     5.1
    32     0.6345    0.638    0.734     5.1
    33     0.6161    0.582    0.675     5.1
    34     0.6170    0.672    0.712     5.2
    35     0.6281    0.543    0.663     5.1
    36     0.6095    0.595    0.626     5.1
    37     0.6057    0.638    0.720     5.1
    38     0.6081    0.616    0.658     5.1
    39     0.6118    0.608    0.719     5.1
    40     0.6105    0.591    0.618     5.1
    41     0.5915    0.668    0.708     5.1
    42     0.5890    0.621    0.652     5.1
    43     0.6215    0.655    0.706     5.1
    44     0.5856    0.690    0.744     5.1
    45     0.5475    0.569    0.621     5.1
    46     0.6200    0.707    0.756     5.1
    47     0.5492    0.672    0.702     5.1
    48     0.5703    0.668    0.730     5.1
    49     0.5515    0.655    0.725     5.1
    50     0.5591    0.621    0.740     5.1
[seed=0 size=224 pooled_split] 末轮 acc 0.621（记进汇总的是这个）   最好 epoch acc 0.707（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=0 size=640 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
     1     0.6935    0.690    0.748    32.9
     2     0.6345    0.651    0.751    31.7
     3     0.6325    0.668    0.729    31.9
     4     0.5841    0.651    0.764    31.9
     5     0.5665    0.543    0.665    31.9
     6     0.6832    0.664    0.756    31.7
     7     0.5693    0.578    0.729    32.0
     8     0.5312    0.672    0.766    31.8
     9     0.5106    0.629    0.733    31.8
    10     0.4976    0.655    0.746    31.9
    11     0.4595    0.655    0.748    32.1
    12     0.4617    0.690    0.784    32.0
    13     0.4047    0.681    0.768    32.0
    14     0.4049    0.647    0.731    32.1
    15     0.3858    0.591    0.712    32.1
    16     0.3726    0.681    0.747    32.2
    17     0.3774    0.707    0.804    32.0
    18     0.3206    0.621    0.726    31.9
    19     0.2903    0.698    0.785    32.2
    20     0.2628    0.664    0.745    32.1
    21     0.2599    0.616    0.718    32.4
    22     0.2734    0.659    0.744    32.3
    23     0.2474    0.647    0.762    32.4
    24     0.2397    0.707    0.774    32.5
    25     0.2195    0.703    0.782    32.3
    26     0.2257    0.655    0.753    32.2
    27     0.2304    0.638    0.734    32.3
    28     0.1668    0.703    0.751    31.9
    29     0.1907    0.642    0.704    31.8
    30     0.2129    0.690    0.763    31.7
    31     0.1610    0.681    0.756    31.7
    32     0.1681    0.690    0.771    31.8
    33     0.1376    0.651    0.753    31.9
    34     0.1470    0.655    0.729    31.9
    35     0.1435    0.634    0.737    32.0
    36     0.1262    0.647    0.727    31.9
    37     0.1474    0.638    0.726    32.1
    38     0.1405    0.672    0.743    32.1
    39     0.1308    0.625    0.723    32.0
    40     0.1191    0.677    0.750    32.0
    41     0.1187    0.634    0.718    32.2
    42     0.1051    0.664    0.753    32.0
    43     0.1200    0.651    0.715    32.5
    44     0.1114    0.634    0.718    32.1
    45     0.1084    0.629    0.723    32.2
    46     0.0909    0.647    0.728    32.0
    47     0.0978    0.655    0.739    32.1
    48     0.0845    0.651    0.731    32.4
    49     0.0899    0.685    0.724    32.3
    50     0.1060    0.681    0.749    32.1
[seed=0 size=640 pooled_split] 末轮 acc 0.681（记进汇总的是这个）   最好 epoch acc 0.707（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=1 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
     1     0.7349    0.530    0.682     5.2
     2     0.6439    0.543    0.661     5.2
     3     0.5969    0.629    0.695     5.2
     4     0.5739    0.573    0.644     5.1
     5     0.5658    0.599    0.669     5.2
     6     0.5261    0.608    0.700     5.2
     7     0.5086    0.698    0.725     5.2
     8     0.4979    0.578    0.709     5.2
     9     0.4844    0.672    0.735     5.2
    10     0.3942    0.672    0.730     5.2
    11     0.3690    0.685    0.752     5.2
    12     0.3614    0.685    0.754     5.2
    13     0.3643    0.664    0.744     5.1
    14     0.3489    0.694    0.766     5.2
    15     0.3375    0.694    0.741     5.2
    16     0.3155    0.634    0.726     5.2
    17     0.2960    0.668    0.719     5.2
    18     0.2947    0.625    0.747     5.2
    19     0.2940    0.664    0.757     5.2
    20     0.2543    0.655    0.734     5.2
    21     0.2401    0.638    0.717     5.2
    22     0.2422    0.694    0.771     5.1
    23     0.2560    0.634    0.708     5.2
    24     0.2312    0.685    0.752     5.2
    25     0.2351    0.685    0.758     5.2
    26     0.2002    0.685    0.760     5.1
    27     0.1903    0.707    0.752     5.2
    28     0.2295    0.672    0.750     5.2
    29     0.1854    0.668    0.747     5.1
    30     0.2065    0.711    0.766     5.2
    31     0.2946    0.668    0.687     5.2
    32     0.1906    0.694    0.744     5.2
    33     0.1986    0.685    0.730     5.2
    34     0.2073    0.647    0.702     5.2
    35     0.1840    0.698    0.747     5.1
    36     0.1727    0.642    0.720     5.2
    37     0.1626    0.664    0.752     5.2
    38     0.2002    0.681    0.755     5.1
    39     0.1620    0.698    0.739     5.1
    40     0.2165    0.677    0.736     5.1
    41     0.1972    0.690    0.762     5.2
    42     0.1596    0.681    0.714     5.2
    43     0.1721    0.677    0.753     5.2
    44     0.1595    0.681    0.736     5.2
    45     0.1553    0.694    0.763     5.2
    46     0.1548    0.694    0.750     5.2
