nohup: 忽略输入
设备 cuda | arch vit_b_16 | scope per_env | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 env=00] 训练 294 张 / 测试 73 张 / 每 epoch 18 个 batch
 epoch       loss      acc      auc       秒
     1     0.8081    0.575    0.457     2.5
     2     0.7131    0.575    0.450     1.9
     3     0.6932    0.575    0.589     1.9
     4     0.6914    0.575    0.587     1.8
     5     0.6874    0.575    0.570     1.8
     6     0.6863    0.575    0.570     1.9
     7     0.6848    0.575    0.574     1.9
     8     0.6868    0.466    0.565     1.9
     9     0.6936    0.575    0.570     1.9
    10     0.6752    0.575    0.561     1.9
    11     0.6918    0.575    0.559     1.8
    12     0.6682    0.575    0.568     1.8
    13     0.6810    0.575    0.566     1.8
    14     0.6772    0.575    0.557     1.8
    15     0.6924    0.575    0.566     1.9
    16     0.6812    0.575    0.573     1.9
    17     0.6707    0.575    0.565     1.9
    18     0.6798    0.575    0.565     1.9
    19     0.6649    0.575    0.556     1.9
    20     0.6773    0.575    0.552     1.8
    21     0.6754    0.575    0.549     1.8
    22     0.6672    0.575    0.568     1.8
    23     0.6700    0.575    0.565     1.9
    24     0.6655    0.575    0.553     1.9
    25     0.6716    0.575    0.561     1.8
    26     0.6703    0.575    0.561     1.8
    27     0.6711    0.575    0.570     1.9
    28     0.6533    0.575    0.576     1.8
    29     0.6534    0.575    0.592     1.8
    30     0.6563    0.575    0.510     1.8
    31     0.6606    0.575    0.476     1.8
    32     0.6522    0.575    0.482     1.8
    33     0.6681    0.575    0.577     1.9
    34     0.6756    0.575    0.560     1.8
    35     0.6654    0.575    0.571     1.8
    36     0.6646    0.575    0.572     1.9
    37     0.6576    0.575    0.573     1.9
    38     0.6643    0.493    0.510     1.9
    39     0.6637    0.575    0.561     1.9
    40     0.6490    0.575    0.541     1.9
    41     0.6497    0.575    0.496     1.8
    42     0.6453    0.575    0.517     1.8
    43     0.6449    0.466    0.491     1.9
    44     0.6643    0.507    0.414     1.9
    45     0.6654    0.575    0.499     1.9
    46     0.6683    0.534    0.446     1.9
    47     0.6321    0.575    0.500     1.8
    48     0.6460    0.562    0.489     1.8
    49     0.6310    0.575    0.456     1.9
    50     0.6768    0.562    0.461     1.9
[seed=0 size=224 env=00] 末轮 acc 0.562（记进汇总的是这个）   最好 epoch acc 0.575（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=0 size=224 env=01] 训练 418 张 / 测试 105 张 / 每 epoch 26 个 batch
 epoch       loss      acc      auc       秒
     1     0.7161    0.524    0.826     2.4
     2     0.5345    0.724    0.893     2.4
     3     0.5030    0.733    0.787     2.4
     4     0.3972    0.676    0.825     2.5
     5     0.4433    0.781    0.880     2.4
     6     0.3132    0.810    0.902     2.4
     7     0.3450    0.771    0.887     2.4
     8     0.2785    0.790    0.886     2.4
     9     0.3398    0.705    0.871     2.4
    10     0.3237    0.752    0.871     2.4
    11     0.3237    0.810    0.865     2.4
    12     0.2630    0.771    0.890     2.4
    13     0.2701    0.762    0.878     2.4
    14     0.2906    0.810    0.899     2.4
    15     0.3123    0.819    0.896     2.4
    16     0.2035    0.800    0.891     2.4
    17     0.2583    0.752    0.858     2.4
    18     0.1977    0.743    0.832     2.4
    19     0.2558    0.800    0.874     2.4
    20     0.2776    0.762    0.849     2.5
    21     0.2169    0.819    0.911     2.4
    22     0.2038    0.857    0.915     2.4
    23     0.2537    0.762    0.814     2.4
    24     0.2196    0.819    0.901     2.4
    25     0.1495    0.781    0.898     2.4
    26     0.2098    0.829    0.898     2.4
    27     0.1673    0.848    0.932     2.4
    28     0.2479    0.829    0.911     2.4
    29     0.2137    0.752    0.836     2.4
    30     0.2143    0.667    0.755     2.4
    31     0.2489    0.724    0.798     2.4
    32     0.2256    0.762    0.872     2.4
    33     0.1898    0.810    0.874     2.4
    34     0.1616    0.810    0.876     2.4
    35     0.1696    0.800    0.881     2.4
    36     0.2082    0.762    0.903     2.4
    37     0.1630    0.857    0.888     2.4
    38     0.1645    0.810    0.884     2.4
    39     0.1681    0.829    0.888     2.4
    40     0.2409    0.800    0.903     2.6
    41     0.1947    0.819    0.910     2.7
    42     0.1515    0.819    0.896     2.4
    43     0.1561    0.810    0.901     2.5
    44     0.1479    0.810    0.898     2.4
    45     0.1658    0.857    0.923     2.5
    46     0.1102    0.838    0.913     2.4
    47     0.1981    0.819    0.888     2.4
    48     0.1618    0.800    0.913     2.4
    49     0.1376    0.819    0.904     2.4
    50     0.1775    0.829    0.928     2.4
[seed=0 size=224 env=01] 末轮 acc 0.829（记进汇总的是这个）   最好 epoch acc 0.857（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=0 size=224 env=02] 训练 220 张 / 测试 54 张 / 每 epoch 13 个 batch
 epoch       loss      acc      auc       秒
     1     0.7274    0.574    0.701     1.5
     2     0.7559    0.611    0.543     1.5
     3     0.6663    0.574    0.673     1.5
     4     0.6908    0.574    0.648     1.5
     5     0.6113    0.648    0.729     1.5
     6     0.5794    0.685    0.711     1.5
     7     0.5023    0.574    0.561     1.5
     8     0.5735    0.537    0.597     1.5
     9     0.5230    0.667    0.619     1.5
    10     0.4520    0.556    0.595     1.5
    11     0.4240    0.611    0.654     1.5
    12     0.3897    0.611    0.642     1.5
    13     0.3224    0.630    0.655     1.5
    14     0.2452    0.537    0.619     1.5
    15     0.2731    0.574    0.652     1.5
    16     0.3725    0.593    0.658     1.5
    17     0.2855    0.648    0.670     1.5
    18     0.3728    0.593    0.647     1.5
    19     0.3126    0.537    0.612     1.5
    20     0.3209    0.556    0.575     1.5
    21     0.1894    0.611    0.638     1.5
    22     0.2084    0.648    0.640     1.5
    23     0.2121    0.593    0.633     1.5
    24     0.1849    0.556    0.652     1.5
    25     0.2125    0.611    0.654     1.5
    26     0.2077    0.574    0.539     1.5
    27     0.2181    0.574    0.585     1.5
    28     0.2544    0.611    0.620     1.5
    29     0.1777    0.593    0.610     1.5
    30     0.1957    0.556    0.596     1.5
    31     0.1919    0.593    0.602     1.5
    32     0.1471    0.593    0.595     1.5
    33     0.1522    0.611    0.609     1.5
    34     0.1347    0.630    0.589     1.5
    35     0.1815    0.593    0.586     1.5
    36     0.1524    0.556    0.600     1.5
    37     0.1312    0.556    0.543     1.5
    38     0.1944    0.556    0.554     1.5
    39     0.1543    0.574    0.562     1.5
    40     0.1327    0.593    0.593     1.5
    41     0.1151    0.574    0.561     1.5
    42     0.1099    0.593    0.581     1.5
    43     0.1335    0.519    0.561     1.5
    44     0.2072    0.574    0.588     1.5
    45     0.2468    0.556    0.606     1.5
    46     0.1694    0.574    0.613     1.5
